,clouds_6,day_time_3,init_pos_4,label
189,4,74740.5831,3.0315,1
190,4,63145.1166,5.8328,1
191,5,66056.4723,6.1592,1
192,5,79365.6173,3.2472,0
193,4,92395.4195,2.0279,0
194,2,69255.6658,5.3335,1
195,0,91810.1703,1.8797,1
196,0,84161.3381,4.2181,1
197,2,89685.5844,5.4513,1
198,1,52251.4305,4.188,1
199,1,52721.6876,3.2755,1
200,3,63853.6504,7.6344,1
201,0,79365.9082,4.8575,1
202,0,83273.3612,4.059,1
203,4,75829.7303,3.7297,1
204,5,52233.7198,0.0356,0
205,5,71032.9676,3.1462,0
206,2,71523.6593,3.486,1
207,4,91842.3597,2.0282,0
208,4,92037.6812,5.082,1
209,1,69634.6689,2.8793,1
210,0,55095.1279,6.2913,1
211,2,60556.1259,0.7269,0
212,1,72603.4576,3.4028,1
213,1,75820.8584,6.4642,1
214,4,57472.8657,7.8467,1
215,3,70146.6368,1.516,0
216,3,50771.6808,0.9207,1
217,4,91538.5826,1.4432,0
218,1,78131.7588,4.8072,1
219,2,52145.7656,7.2791,1
220,1,79377.9767,5.6952,1
221,3,94001.6696,1.4853,1
222,4,51371.2642,6.8231,1
223,4,93750.3637,4.3619,1
224,3,76623.4928,1.5718,0
225,3,60681.6926,0.6416,0
226,2,89053.4184,5.3501,1
227,0,50588.7482,4.7282,1
228,1,72017.7151,3.6846,1
229,3,81438.3113,2.0214,1
230,1,81117.06,2.4265,1
231,2,89199.4053,4.57,1
232,3,54016.4299,5.9907,1
233,0,79897.8345,5.0665,1
234,5,63156.6324,6.1542,1
235,3,52108.2485,6.9232,1
236,2,51734.3448,7.1967,1
237,5,55778.2051,4.7115,1
238,5,89886.4352,6.7773,1
239,2,68630.6029,2.0962,0
240,4,67391.6032,6.7129,1
241,0,70959.247,0.8992,0
242,3,87410.3882,2.713,0
243,0,64728.5144,6.1111,1
244,3,64486.3655,5.471,1
245,3,83402.7388,4.4554,1
246,0,91015.3521,3.8382,1
247,4,55096.7009,3.9969,1
248,2,55963.6052,7.6964,1
249,0,60231.2451,0.57,0
250,4,74503.5993,6.1302,1
251,3,78114.2905,0.8326,0
252,2,91212.9115,2.6068,0
253,2,65833.0003,2.4517,0
254,5,68646.6841,6.926,1
255,3,60141.8531,0.5699,0
256,5,61156.3139,2.9565,1
257,0,60365.9923,4.3064,1
258,1,52233.5803,6.6503,1
259,2,80242.948,3.8158,1
260,5,93010.4036,6.7621,1
261,3,81633.7052,0.9367,0
262,3,61759.85,7.9357,1
263,4,88228.4836,4.8527,1
264,4,87575.6296,6.6379,1
265,3,93159.9362,2.7823,0
266,0,82134.4549,4.1491,1
267,1,79686.3768,2.8147,1
268,2,69469.2178,1.0505,0
269,3,56403.3957,2.1666,1
270,1,79897.7754,7.4987,1
271,5,89804.2185,0.1286,0
272,5,61668.8507,5.4418,1
273,4,56496.2644,3.604,1
274,2,55015.3892,4.9568,1
275,0,67941.5407,0.003,0
276,0,91123.4593,1.2142,0
277,0,90295.3892,1.2449,0
278,2,77659.2057,1.124,1
279,0,91777.241,2.6567,1
280,5,53206.0679,1.8131,0
281,4,83878.0202,7.0115,1
282,4,79521.8481,7.2053,1
283,4,84260.7762,4.6734,1
284,2,69061.2637,1.698,0
285,3,94421.2029,2.8163,0
286,4,64263.3852,1.7121,0
287,0,70909.5597,6.3961,1
288,0,83948.7738,7.4575,1
289,4,53435.0387,3.2239,1
290,5,74394.4984,2.3438,0
291,1,77398.0463,1.7678,1
292,1,73244.9946,0.5047,0
293,1,78885.3895,4.3354,1
294,5,72294.5565,7.0751,1
295,5,56044.8276,4.2312,1
296,3,55271.0767,7.9078,1
297,0,54541.0098,5.353,1
298,0,83744.3414,5.8736,1
299,0,54997.5065,2.2462,0
300,5,57415.6583,3.6015,1
301,1,93039.9571,4.7965,1
302,3,76220.7082,3.8622,1
303,5,84505.6211,2.4892,0
304,2,54717.4048,1.7585,0
305,3,69407.4432,3.2406,1
306,2,88915.959,6.9429,1
307,5,58323.602,6.7988,1
308,0,87460.5713,4.2696,1
309,3,82722.0295,3.7957,1
310,5,86957.6657,1.638,0
311,5,90648.9315,3.3292,0
312,1,60894.5006,4.7083,1
313,1,50384.5734,3.8054,1
314,3,90612.3378,2.3842,1
315,0,80937.1232,6.3418,1
316,3,88406.1712,1.2598,1
317,5,82726.3655,2.6711,1
318,4,69582.8035,1.1921,0
319,0,55385.6716,1.1444,0
320,3,61851.3579,6.17,1
321,5,65779.8815,3.132,1
322,4,80075.5919,1.0899,0
323,2,67130.014,6.9285,1
324,3,55416.4322,0.1943,0
325,2,75817.9847,7.7255,1
326,4,78821.3726,6.5745,1
327,5,56694.1268,1.7267,0
328,0,86863.5795,5.836,1
329,3,71362.8748,1.0823,0
330,1,57902.0075,7.6642,1
331,4,53311.4804,6.519,1
332,2,84059.349,2.5088,1
333,2,82299.4751,2.9488,1
334,0,53972.1146,1.6461,0
335,5,75643.31,5.8254,1
336,3,89874.1123,4.6412,1
337,5,70731.9571,1.0931,0
338,0,73142.7422,0.1597,0
339,2,88725.2099,5.4949,1
340,4,86567.5167,3.1718,0
341,0,94097.2269,4.5708,1
342,4,52245.4259,4.7033,1
343,4,72145.1579,5.5437,1
344,0,68957.2927,6.7593,1
345,2,51249.167,7.7194,1
346,1,69619.9499,0.3501,0
347,5,81300.4469,4.9718,1
348,2,82619.4084,2.3667,1
349,4,58205.7512,6.7812,1
350,0,51818.7583,4.4117,1
351,5,88251.9241,4.0,1
352,3,75677.631,3.6163,1
353,5,91371.1477,2.6648,1
354,4,75835.3999,6.994,1
355,4,64274.4647,7.865,1
356,3,69152.6834,1.8611,0
357,1,80679.0702,6.0896,1
358,1,55994.4749,3.6354,1
